"","Source_Name","ASSOC_FGL","Signif","PL_Flux_Density","LP_Flux_Density","PLEC_Flux_Density","RA","DEC","GLON","GLAT","ASSOC1","CLASS1","ASSOC2","CLASS2","Flags","FGL3_Source_name","BLR_P_PLEC","BLR_Pred_PLEC","BLR_P_LP","BLR_Pred_LP","RF_P_LP","RF_Pred_LP","PSR_Out","AGN_Out","XGB_P_PLEC","XGB_Pred_PLEC","XGB_P_LP","XGB_Pred_LP","ANN_Pred_LP","ANN_P_LP.1","ANN_P_LP.2","ANN_Pred_PLEC","ANN_P_PLEC.1","ANN_P_PLEC.2"
"1","0000.3-7355","                  ",  7.400,"2.95e-14","3.26e-14","3.22e-14","  0.098","-73.9220","307.709","-4.3e+01","                            ","","                              ","",   0,"",0.004,"AGN",0.002,"AGN",0.000,"AGN",  5819.920,  -0.397,0.0010769212,"AGN",0.997985244,"PSR","AGN",9.979944e-01,2.005623e-03,"AGN",9.976906e-01,2.309512e-03
"2","0001.2+4741","                  ",  4.197,"2.58e-14","2.70e-14","2.62e-14","  0.313"," 47.6859","114.250","-1.4e+01","B3 2358+474                 ","bcu","                              ","",   0,"",0.001,"AGN",0.001,"AGN",0.002,"AGN",  8196.254,  -0.346,0.0004774195,"AGN",0.909907937,"PSR","AGN",9.999999e-01,1.140095e-07,"AGN",1.000000e+00,7.873374e-10
"3","0001.2-0747","3FGL J0001.2-0748 ", 22.748,"5.78e-13","6.17e-13","6.04e-13","  0.315"," -7.7971"," 89.033","-6.7e+01","PMN J0001-0746              ","bll","                              ","",   0,"0001.2-0748",0.007,"AGN",0.014,"AGN",0.032,"AGN",  8222.122,  -0.192,0.0006365132,"AGN",0.957619607,"PSR","AGN",9.932681e-01,6.731866e-03,"AGN",9.973255e-01,2.674456e-03
"4","0001.5+2113","3FGL J0001.4+2120 ", 30.666,"2.46e-11","2.85e-11","2.77e-11","  0.382"," 21.2183","107.649","-4.0e+01","TXS 2358+209                ","fsrq","                              ","",   0,"0001.4+2120",0.017,"AGN",0.004,"AGN",0.014,"AGN",  2253.515,   4.760,0.0016657535,"AGN",0.098099254,"AGN","AGN",9.251534e-01,7.484657e-02,"AGN",9.973937e-01,2.606315e-03
"5","0001.6-4156","3FGL J0002.2-4152 ", 11.464,"2.44e-14","2.55e-14","2.51e-14","  0.417","-41.9425","334.226","-7.2e+01","1RXS J000135.5-415519       ","bcu","                              ","",   0,"0002.2-4152",0.001,"AGN",0.000,"AGN",0.000,"AGN",  8886.601,  -0.965,0.0004908323,"AGN",0.852909744,"PSR","AGN",9.999999e-01,8.682387e-08,"AGN",1.000000e+00,5.569893e-09
"6","0002.1-6728","3FGL J0002.0-6722 ", 11.558,"1.31e-14","1.63e-14","1.57e-14","  0.538","-67.4746","310.085","-4.9e+01","SUMSS J000215-672653        ","bcu","                              ","",   0,"0002.0-6722",0.001,"AGN",0.001,"AGN",0.002,"AGN",  6355.133,  -0.708,0.0007376310,"AGN",0.912006259,"PSR","AGN",9.997997e-01,2.004037e-04,"AGN",9.999806e-01,1.939671e-05
"7","0002.1+6721","                  ",  6.702,"4.42e-13","6.57e-13","6.44e-13","  0.542"," 67.3578","118.203"," 4.9e+00","1RXS J000209.4+672503       ","unk","                              ","",   1,"",0.313,"PSR",0.526,"PSR",0.808,"PSR",    58.686, 980.575,0.8983387351,"PSR",0.958700776,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"8","0002.8+6217","3FGL J0002.6+6218 ", 27.669,"1.53e-12","2.12e-12","2.08e-12","  0.720"," 62.2905","117.320","-5.1e-02","PSR J0002+6216              ","PSR","                              ","",   0,"0002.6+6218",0.947,"PSR",0.934,"PSR",1.000,"PSR",    -0.721, 329.792,0.9993737340,"PSR",0.961547852,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"9","0003.1-5248","3FGL J0003.2-5246 ", 13.530,"2.09e-14","2.35e-14","2.29e-14","  0.782","-52.8071","318.990","-6.3e+01","RBS 0006                    ","bcu","                              ","",   0,"0003.2-5246",0.004,"AGN",0.002,"AGN",0.000,"AGN",  6543.007,  -0.676,0.0005033836,"AGN",0.975554764,"PSR","AGN",9.997681e-01,2.318972e-04,"AGN",9.999565e-01,4.349007e-05
"10","0003.2+2207","                  ",  4.199,"2.68e-14","2.35e-14","2.90e-14","  0.806"," 22.1302","108.439","-3.9e+01","2MASX J00032450+2204559     ","bll","                              ","",   0,"",0.057,"AGN",0.071,"AGN",0.000,"AGN",   701.968,   9.932,0.0058718203,"AGN",0.995997548,"PSR","AGN",9.385395e-01,6.146053e-02,"AGN",9.365743e-01,6.342563e-02
"11","0003.3+2511","                  ",  5.415,"8.26e-14","1.17e-13","1.14e-13","  0.832"," 25.1912","109.382","-3.6e+01","                            ","","                              ","",   0,"",0.057,"AGN",0.028,"AGN",0.042,"AGN",   346.702,   6.687,0.0111967353,"AGN",0.994596720,"PSR","PSR",2.849207e-01,7.150793e-01,"AGN",6.491497e-01,3.508503e-01
"12","0003.3-1928","                  ", 12.278,"3.54e-13","4.67e-13","4.63e-13","  0.846","-19.4676"," 65.198","-7.7e+01","PKS 0000-197                ","bcu","                              ","",   0,"",0.003,"AGN",0.017,"AGN",0.022,"AGN",  2063.766,  11.304,0.0015776018,"AGN",0.055482075,"AGN","AGN",9.997159e-01,2.840867e-04,"AGN",9.999775e-01,2.248429e-05
"13","0003.3-5905","                  ",  5.897,"1.08e-13","1.11e-13","1.16e-13","  0.848","-59.0952","314.239","-5.7e+01","PMN J0003-5905              ","bcu","                              ","",   4,"",0.004,"AGN",0.004,"AGN",0.000,"AGN",  2448.602,   1.158,0.0019724334,"AGN",0.805289924,"PSR","AGN",9.996984e-01,3.015820e-04,"AGN",9.980964e-01,1.903656e-03
"14","0003.6+3059","3FGL J0003.4+3100 ", 10.791,"1.97e-13","3.18e-13","2.98e-13","  0.905"," 30.9898","111.004","-3.1e+01","                            ","","                              ","",   0,"0003.4+3100",0.160,"PSR",0.248,"PSR",0.592,"PSR",    33.111, 371.130,0.4534246922,"AGN",0.992648542,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"15","0003.9-1149","3FGL J0003.8-1151 ", 10.234,"1.08e-13","1.44e-13","1.39e-13","  0.999","-11.8251"," 84.595","-7.1e+01","PMN J0004-1148              ","bll","                              ","",   0,"0003.8-1151",0.057,"AGN",0.028,"AGN",0.038,"AGN",   540.917,   9.448,0.0170962438,"AGN",0.986468196,"PSR","AGN",6.495695e-01,3.504305e-01,"AGN",8.088766e-01,1.911234e-01
"16","0004.0+5715","3FGL J0003.5+5721 ",  7.606,"2.49e-13","3.21e-13","3.13e-13","  1.002"," 57.2578","116.526","-5.0e+00","                            ","","                              ","",   0,"0003.5+5721",0.102,"PSR",0.052,"AGN",0.136,"AGN",  1428.858,   7.932,0.0965912864,"AGN",0.620661318,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"17","0004.0+0840","3FGL J0004.2+0843 ",  6.791,"4.57e-14","6.05e-14","5.74e-14","  1.007","  8.6757","103.496","-5.2e+01","SDSS J000359.23+084138.1    ","bcu","                              ","",   0,"0004.2+0843",0.003,"AGN",0.016,"AGN",0.022,"AGN",  2308.259,   2.928,0.0137822200,"AGN",0.956372380,"PSR","AGN",9.958748e-01,4.125254e-03,"AGN",9.989937e-01,1.006340e-03
"18","0004.4-4737","3FGL J0004.7-4740 ", 19.205,"1.03e-12","1.12e-12","1.11e-12","  1.109","-47.6233","323.986","-6.8e+01","PKS 0002-478                ","fsrq","                              ","",   0,"0004.7-4740",0.000,"AGN",0.000,"AGN",0.000,"AGN",  1530.167,  -0.312,0.0005226471,"AGN",0.045457508,"AGN","AGN",9.999423e-01,5.774927e-05,"AGN",9.999847e-01,1.524221e-05
"19","0004.4-4001","                  ",  6.416,"1.35e-13","1.30e-13","1.35e-13","  1.118","-40.0251","336.991","-7.4e+01","                            ","","                              ","",   4,"",0.002,"AGN",0.003,"AGN",0.002,"AGN",  4962.643,  -0.617,0.0004908323,"AGN",0.217002288,"AGN","AGN",9.999996e-01,3.544550e-07,"AGN",1.000000e+00,4.071457e-12
"20","0005.6+6746c","                  ",  4.275,"3.73e-13","5.38e-13","5.24e-13","  1.416"," 67.7688","118.608"," 5.3e+00","                            ","","                              ","",  56,"",0.746,"PSR",0.205,"PSR",0.442,"AGN",   481.553, 238.647,0.7997455001,"PSR",0.971107364,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"21","0005.9+3824","3FGL J0006.4+3825 ", 14.660,"3.82e-12","4.50e-12","4.43e-12","  1.499"," 38.4010","113.232","-2.4e+01","S4 0003+38                  ","fsrq","                              ","",   0,"0006.4+3825",0.005,"AGN",0.001,"AGN",0.012,"AGN",   696.111,   1.534,0.0013348915,"AGN",0.239314660,"AGN","AGN",5.985503e-01,4.014497e-01,"AGN",8.148820e-01,1.851180e-01
"22","0006.3-0620","                  ",  4.125,"3.19e-14","4.36e-14","4.21e-14","  1.599"," -6.3493"," 93.647","-6.7e+01","CGRaBS J0006-0623           ","bll","                              ","",   0,"",0.015,"AGN",0.006,"AGN",0.000,"AGN",  1658.551,   1.065,0.0016272903,"AGN",0.928401172,"PSR","AGN",9.999682e-01,3.183307e-05,"AGN",9.999988e-01,1.219476e-06
"23","0006.4+0135","3FGL J0006.2+0135 ",  6.145,"2.96e-14","3.52e-14","3.49e-14","  1.609","  1.5982","100.477","-5.9e+01","NVSS J000626+013611         ","bcu","                              ","",   0,"0006.2+0135",0.004,"AGN",0.006,"AGN",0.008,"AGN",  2630.409,   0.247,0.0012803400,"AGN",0.996960163,"PSR","AGN",9.715222e-01,2.847788e-02,"AGN",9.789528e-01,2.104724e-02
"24","0006.6+4618","3FGL J0006.6+4618 ",  6.361,"1.90e-13","1.76e-13","1.89e-13","  1.670"," 46.3046","114.920","-1.6e+01","                            ","","                              ","",   0,"0006.6+4618",0.002,"AGN",0.003,"AGN",0.010,"AGN",  5346.640,  -0.078,0.0014499237,"AGN",0.303998947,"AGN","AGN",9.998504e-01,1.496183e-04,"AGN",1.000000e+00,1.025641e-08
"25","0007.0+7303","3FGL J0007.0+7302 ",329.094,"2.66e-11","3.71e-11","3.59e-11","  1.768"," 73.0512","119.663"," 1.0e+01","PSR J0007+7303              ","PSR","                              ","",   0,"0007.0+7302",0.991,"PSR",0.992,"PSR",1.000,"PSR",    -0.492, 416.984,0.9993984699,"PSR",0.992645025,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"26","0007.7+4008","3FGL J0007.9+4006 ", 11.106,"1.09e-13","1.35e-13","1.32e-13","  1.928"," 40.1340","113.937","-2.2e+01","NVSS J000741+400830         ","bcu","                              ","",   0,"0007.9+4006",0.002,"AGN",0.012,"AGN",0.002,"AGN",  4280.585,   1.073,0.0034635945,"AGN",0.949930489,"PSR","AGN",9.915323e-01,8.467770e-03,"AGN",9.970555e-01,2.944501e-03
"27","0008.0+4711","3FGL J0008.0+4713 ", 42.163,"1.02e-12","1.10e-12","1.07e-12","  2.002"," 47.1950","115.316","-1.5e+01","MG4 J000800+4712            ","bll","                              ","",   0,"0008.0+4713",0.078,"AGN",0.022,"AGN",0.058,"AGN", 20011.650,   9.385,0.0165415686,"AGN",0.994441569,"PSR","PSR",2.849207e-01,7.150793e-01,"AGN",5.830441e-01,4.169560e-01
"28","0008.0-3937","                  ",  5.730,"3.51e-13","5.72e-13","5.60e-13","  2.005","-39.6320","335.996","-7.5e+01","PMN J0008-3945              ","bcu","                              ","",  16,"",0.015,"AGN",0.026,"AGN",0.074,"AGN",   415.328,  22.669,0.0123100253,"AGN",0.792774618,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"29","0008.4+6926","                  ",  4.818,"3.15e-14","3.59e-14","3.61e-14","  2.107"," 69.4409","119.148"," 6.9e+00","                            ","","                              ","",   0,"",0.002,"AGN",0.001,"AGN",0.134,"AGN",  4078.917,   1.438,0.3577556312,"AGN",0.804000676,"PSR","AGN",9.971905e-01,2.809485e-03,"AGN",9.994345e-01,5.654724e-04
"30","0008.4-2339","3FGL J0008.6-2340 ", 10.520,"6.68e-15","8.53e-15","8.36e-15","  2.111","-23.6514"," 50.265","-8.0e+01","RBS 0016                    ","bll","                              ","",   0,"0008.6-2340",0.001,"AGN",0.001,"AGN",0.000,"AGN",  5629.311,  -0.576,0.0008807686,"AGN",0.990563869,"PSR","AGN",9.999762e-01,2.385990e-05,"AGN",9.999957e-01,4.321194e-06
"31","0008.4+1455","3FGL J0008.3+1456 ", 10.042,"1.20e-13","1.27e-13","1.30e-13","  2.125"," 14.9232","107.724","-4.7e+01","NVSS J000825+145635         ","bcu","                              ","",   0,"0008.3+1456",0.010,"AGN",0.005,"AGN",0.002,"AGN",  5229.380,  -0.243,0.0013628853,"AGN",0.994695723,"PSR","AGN",9.996133e-01,3.866319e-04,"AGN",9.994764e-01,5.236831e-04
"32","0008.9+2509","                  ",  5.490,"4.27e-12","5.17e-12","5.08e-12","  2.236"," 25.1536","110.915","-3.7e+01","                            ","","                              ","",   0,"",0.027,"AGN",0.004,"AGN",0.042,"AGN",   566.217,   3.223,0.0017959815,"AGN",0.388113558,"AGN","AGN",9.659777e-01,3.402229e-02,"AGN",9.923605e-01,7.639542e-03
"33","0009.1-5012","                  ",  6.842,"2.11e-13","2.47e-13","2.41e-13","  2.296","-50.2107","319.395","-6.6e+01","                            ","","                              ","",   0,"",0.002,"AGN",0.012,"AGN",0.004,"AGN",  1509.731,   0.357,0.0022991891,"AGN",0.776995480,"PSR","AGN",9.992245e-01,7.754605e-04,"AGN",9.999369e-01,6.311372e-05
"34","0009.1+0628","3FGL J0009.1+0630 ", 13.052,"1.37e-13","1.47e-13","1.44e-13","  2.297","  6.4828","104.481","-5.5e+01","TXS 0006+061                ","bll","                              ","",   0,"0009.1+0630",0.002,"AGN",0.001,"AGN",0.006,"AGN", 10892.942,  -0.521,0.0005272193,"AGN",0.930702925,"PSR","AGN",9.996687e-01,3.313168e-04,"AGN",9.999609e-01,3.908821e-05
"35","0009.2+6847","3FGL J0008.5+6853 ",  8.957,"6.50e-13","9.86e-13","9.92e-13","  2.305"," 68.7932","119.110"," 6.2e+00","                            ","","                              ","",   0,"0008.5+6853",0.590,"PSR",0.526,"PSR",0.844,"PSR",    14.758, 730.804,0.7650788426,"PSR",0.967209637,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"36","0009.2+1745","                  ",  4.472,"3.26e-13","4.26e-13","4.07e-13","  2.308"," 17.7544","108.909","-4.4e+01","                            ","","WISE J000848.06+175048.8      ","agn",   0,"",0.004,"AGN",0.005,"AGN",0.006,"AGN",   563.299,   1.809,0.0013273446,"AGN",0.315600216,"AGN","AGN",9.988704e-01,1.129525e-03,"AGN",9.999250e-01,7.498682e-05
